Attributed Touch Type,Attributed Touch Time,Install Time,Event Time,Event Name,Event Value,Event Revenue,Event Revenue Currency,Event Revenue USD,Event Source,Is Receipt Validated,Partner,Media Source,Channel,Keywords,Campaign,Campaign ID,Adset,Adset ID,Ad,Ad ID,Ad Type,Site ID,Sub Site ID,Sub Param 1,Sub Param 2,Sub Param 3,Sub Param 4,Sub Param 5,Cost Model,Cost Value,Cost Currency,Contributor 1 Partner,Contributor 1 Media Source,Contributor 1 Campaign,Contributor 1 Touch Type,Contributor 1 Touch Time,Contributor 2 Partner,Contributor 2 Media Source,Contributor 2 Campaign,Contributor 2 Touch Type,Contributor 2 Touch Time,Contributor 3 Partner,Contributor 3 Media Source,Contributor 3 Campaign,Contributor 3 Touch Type,Contributor 3 Touch Time,Region,Country Code,State,City,Postal Code,DMA,IP,WIFI,Operator,Carrier,Language,AppsFlyer ID,Advertising ID,IDFA,Android ID,Customer User ID,IMEI,IDFV,Platform,Device Type,OS Version,App Version,SDK Version,App ID,App Name,Bundle ID,Is Retargeting,Retargeting Conversion Type,Attribution Lookback,Reengagement Window,Is Primary Attribution,User Agent,HTTP Referrer,Original URL
click,1/19/2017 10:26,1/19/2017 17:30,9/18/2018 12:50,af_purchase,"{""af_currency"":""USD"",""af_content_id"":""com.gleragames.mahjong.coins1_2"",""af_revenue"":1.99}",1.99,USD,1.99,SDK,,,applovin_int,video,,MahjongTreasureQuest_iOS_CPI_us,,,,Video_Portrait_Long_Mahjong_15sec_NoVoice_HD_AppStore_Vid_CreativeSet1_Graphic,,INTER,07ead139afa320d25c1b9dfda8bb4f59,,,,,,,,10,,,,,,,,,,,,,,,,,NA,US,PA,Mechanicsburg,17050,566,152.208.8.113,TRUE,,,en-US,1484803619000-5314264,,399A7B96-509E-42EE-A2D0-48FE2C9063AC,,f2b34510-de31-11e6-a09e-1d28a39e502f,,48A74A8F-05D0-4517-B3E1-BEA23C9BF9E2,ios,iPad Air,11.4.1,436,v4.8.6,id1098189387,Mahjong Treasure Quest,com.vizor-apps.Mahjong,FALSE,,7d,,TRUE,Mahjong%20Treasure%20Quest/2.17.5 CFNetwork/902.2 Darwin/17.7.0,,http://app.appsflyer.com/id1098189387?pid=applovin_int&af_click_lookback=7d&c=MahjongTreasureQuest_iOS_CPI_us&clickid=10e83c06ca5d270595&idfa=399A7B96-509E-42EE-A2D0-48FE2C9063AC&af_ad=Video_Portrait_Long_Mahjong_15sec_NoVoice_HD_AppStore_Vid_CreativeSet1_Graphic&af_ad_type=INTER&af_channel=video&af_siteid=07ead139afa320d25c1b9dfda8bb4f59&af_cost_value=10
click,7/28/2018 8:11,7/28/2018 8:16,9/18/2018 12:49,af_purchase,"{""af_currency"":""GBP"",""af_content_id"":""com.gleragames.mahjong.coins1_2"",""af_revenue"":1.99}",1.99,GBP,2.616552,SDK,,,googleadwords_int,UAC_Display,,MTQ_ios_UAC_AU+CA+UK_purch_11_dec_2017,1015277688,,,,,ClickToDownload,,,,,,,,,,,,,,,,,,,,,,,,,,EU,UK,SFK,Ipswich,ip8 3qr,826043,82.22.128.38,TRUE,,,en-GB,1532769320802-310365,,904BB8CA-9DB3-42E0-A55F-7DA7098B180B,,c74253f0-0c2a-11e8-925c-65416cab875c,,A1B76513-0724-4F31-869A-7EF08D065128,ios,iPad Pro (10.5 inch),11.4.1,436,v4.8.6,id1098189387,Mahjong Treasure Quest,com.vizor-apps.Mahjong,FALSE,,30d,,TRUE,Mahjong%20Treasure%20Quest/2.17.5 CFNetwork/902.2 Darwin/17.7.0,,
click,1/2/2018 13:30,1/2/2018 14:22,9/18/2018 12:49,af_purchase,"{""af_currency"":""GBP"",""af_content_id"":""com.gleragames.mahjong.subscriptionpack2"",""af_revenue"":9.99}",9.99,GBP,13.120447,SDK,,,chartboosts2s_int,Marketplace,,MTQ_UK_iOS_video_12dec2017,5a2fc38834bdf10b76f10ae5,,,Video-Winter,586f941904b016142de164ad,,Fishdom,,,,,,5163e2a316ba47f221000007,cpi,5,USD,,,,,,,,,,,,,,,,EU,UK,LAN,Poulton-Le-Fylde,fy6 0wx,826040,95.144.24.170,TRUE,,,en-GB,1514899811042-3966024,,D5D15104-E8F7-4883-842F-1D6823ECB13F,,5065c880-efc8-11e7-b995-afc808676367,,272C441F-4695-492F-905E-E8EF0E3B5B3B,ios,iPhone 7 Plus,11.4.1,437,v4.8.9,id1098189387,Mahjong Treasure Quest,com.vizor-apps.Mahjong,FALSE,,7d,,FALSE,Mahjong%20Treasure%20Quest/2.18 CFNetwork/902.2 Darwin/17.7.0,,https://app.appsflyer.com/s2s?redirect=false&pid=chartboosts2s_int&af_id=id1098189387&af_cost_model=cpi&af_cost_currency=USD&clickid=5a4b892a39000055023056ff&c=MTQ_UK_iOS_video_12dec2017&af_channel=Marketplace&af_cost_value=5.0&af_siteid=Fishdom&af_c_id=5a2fc38834bdf10b76f10ae5&af_sub5=5163e2a316ba47f221000007&af_ad=Video-Winter&af_lang=en-GB&idfa=D5D15104-E8F7-4883-842F-1D6823ECB13F&af_ad_id=586f941904b016142de164ad&af_ip=2.26.205.16&af_ua=Mozilla%2F5.0+%28iPhone%3B+CPU+iPhone+OS+11_2_1+like+Mac+OS+X%29+AppleWebKit%2F604.4.7+%28KHTML%2C+like+Gecko%29+Mobile%2F15C153
click,9/17/2018 2:16,9/17/2018 2:19,9/18/2018 12:47,af_purchase,"{""af_currency"":""CNY"",""af_content_id"":""com.gleragames.mahjong.starterpack"",""af_revenue"":30}",30,CNY,4.367861,SDK,,,googleadwords_int,UAC_Display,,MTQ_ios_UAC_CN_purc_2_Nov_2017,972342676,,,,,ClickToDownload,,,,,,,,,,,,,,,,,,,,,,,,,,AS,CN,BJ,Tongzhou,101112,156001,124.238.200.222,TRUE,,,zh-Hans-CN,1537179378110-2448833,,BE4E62C3-7C4A-4B2B-964E-755F96AE5A83,,0b202d70-ba20-11e8-a61a-ed985e980972,,EA045EC3-3F1B-4A7C-8EA1-5E6349AB1C99,ios,iPhone 7 Plus,11.4.1,437,v4.8.9,id1098189387,Mahjong Treasure Quest,com.vizor-apps.Mahjong,FALSE,,30d,,TRUE,Mahjong%20Treasure%20Quest/2.18 CFNetwork/902.2 Darwin/17.7.0,,
click,9/4/2018 7:23,9/4/2018 7:24,9/18/2018 12:43,af_purchase,"{""af_currency"":""EUR"",""af_content_id"":""com.gleragames.mahjong.coins3"",""af_revenue"":10.99}",10.99,EUR,12.838905,SDK,,,Apple Search Ads,,mahjong,MTQ_DE_06_Aug_2018,176032220,Mahjong Lines_DE,176304661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,DE,NW,Essen,45355,276002,80.187.123.74,FALSE,,,de-DE,1536053041495-1005365,,D78E39FB-2021-4480-80B8-7284CFC84BA0,,93ac7780-b013-11e8-a44b-0b82a6c3756b,,ACDF63DF-B27C-49F6-8C2B-31DA05FA955D,ios,iPhone 6s,11.4.1,436,v4.8.6,id1098189387,Mahjong Treasure Quest,com.vizor-apps.Mahjong,FALSE,,,,TRUE,Mahjong%20Treasure%20Quest/2.17.5 CFNetwork/902.2 Darwin/17.7.0,,
click,4/8/2018 13:40,4/9/2018 2:47,9/18/2018 12:42,af_purchase,"{""af_currency"":""USD"",""af_content_id"":""com.gleragames.mahjong.coins1_2"",""af_revenue"":1.99}",1.99,USD,1.99,SDK,,,googleadwords_int,UAC_Display,,MTQ_ios_UAC_US_purc_2_Nov_2017,972378712,,,,,ClickToDownload,,,,,,,,,,,,,,,,,,,,,,,,,,NA,US,VA,Hampton,23663,544,68.10.79.101,TRUE,,,en-US,1523180451407-3330464,,4FBDAE64-37FD-4A43-A852-74D3E7BF1EB4,,554f9650-3ba0-11e8-aca5-93f1ffc60d76,,A42C8F82-CD94-46A2-8DDA-657CFAEA3344,ios,iPhone 6s Plus,12,436,v4.8.6,id1098189387,Mahjong Treasure Quest,com.vizor-apps.Mahjong,FALSE,,30d,,TRUE,Mahjong%20Treasure%20Quest/2.17.5 CFNetwork/974.2.1 Darwin/18.0.0,,
click,8/1/2017 18:11,8/1/2017 18:13,9/18/2018 12:41,af_purchase,"{""af_content_id"":""com.gleragames.mahjong.coins1_2"",""af_currency"":""GBP"",""af_revenue"":1.99}",1.99,GBP,2.613582,SDK,,,vungle_int,,,MTQ_iOS_RON_T1,,,,,,,586fefde34a7645e1f00020a,,GB,Letter Soup Cafe - Anagram Word Game,,,,CPI,4,USD,,,,,,,,,,,,,,,,EU,UK,WOR,Worcester,wr1 1lp,826042,81.141.86.103,TRUE,,,en-GB,1501614706000-5965791,,DF698FBB-B7F2-4B6A-A86E-AD09D8E72455,,15000d80-76e5-11e7-adb7-c3715c07d21f,,5DF3DE5C-B4E9-4530-9951-58EA1938CDE2,ios,iPad 3,9.3.5,437,v4.8.9,id1098189387,Mahjong Treasure Quest,com.vizor-apps.Mahjong,FALSE,,7d,,TRUE,Mahjong%20Treasure%20Quest/2.18 CFNetwork/758.5.3 Darwin/15.6.0,,https://app.appsflyer.com/id1098189387?pid=vungle_int&c=MTQ_iOS_RON_T1&af_sub1=GB&idfa=df698fbb-b7f2-4b6a-a86e-ad09d8e72455&clickid=5980c3f0b5bce80d9a97e708&af_siteid=586fefde34a7645e1f00020a&vungleappid=56f01762dab76d9476000090&af_cost_model=CPI&af_cost_value=4&af_cost_currency=USD&af_sub2=Letter%20Soup%20Cafe%20-%20Anagram%20Word%20Game
click,9/2/2018 15:41,9/2/2018 15:43,9/18/2018 12:41,af_purchase,"{""af_currency"":""EUR"",""af_content_id"":""com.gleragames.mahjong.coins4"",""af_revenue"":21.99}",21.99,EUR,25.743024,SDK,,,googleadwords_int,UAC_Display,,MTQ_ios_UAC_DE-AT-CH_purc_4_Dec_2017,1006590854,,,,,ClickToDownload,,,,,,,,,,,,,,,,,,,,,,,,,,EU,DE,BW,Sankt Leon-Rot,68789,276004,46.5.19.108,TRUE,,,de-DE,1535910184239-3602327,,C7C0F5AE-8DB5-4690-BCCA-175920EA3830,,844769c0-3827-11e8-820c-b11942be7d0e,,62CAD8AE-4DEA-44AE-B89B-F108413654FA,ios,iPhone 5s,11.4.1,436,v4.8.6,id1098189387,Mahjong Treasure Quest,com.vizor-apps.Mahjong,FALSE,,30d,,TRUE,Mahjong%20Treasure%20Quest/2.17.5 CFNetwork/902.2 Darwin/17.7.0,,
click,9/17/2018 13:24,9/17/2018 13:51,9/18/2018 12:40,af_purchase,"{""af_currency"":""JPY"",""af_content_id"":""com.gleragames.mahjong.coins2"",""af_revenue"":600}",600,JPY,5.351425,SDK,,,Facebook Ads,AudienceNetwork,,MTQ - iOS - AEO - Asia (5 June 2018),6.12E+12,JP - iOS - AEO - Match3Games,6.12E+12,Expeditions General Video,6.12E+12,rewarded_video,,,,,,,,,,,,,,,,,,,,,,,,,,AS,JP,13,Tokyo,100-0001,392001,60.144.157.240,TRUE,,,ja-JP,1537223126966-7785224,,65552422-7BE9-45FC-8A5F-EC4D2F3A6498,,d7f14360-ba80-11e8-a384-d5b49061c8c9,,A2523610-2009-4CD5-BB5E-B365E3513754,ios,iPhone 5s,11.4.1,437,v4.8.9,id1098189387,Mahjong Treasure Quest,com.vizor-apps.Mahjong,FALSE,,28d,,TRUE,%E3%83%91%E3%82%BA%E3%83%AB%E3%83%88%E3%83%AC%E3%82%B8%E3%83%A3%E3%83%BC%E3%82%AF%E3%82%A8%E3%82%B9%E3%83%88/2.18 CFNetwork/902.2 Darwin/17.7.0,,
click,4/4/2018 16:13,4/4/2018 16:14,9/18/2018 12:40,af_purchase,"{""af_currency"":""USD"",""af_content_id"":""com.gleragames.mahjong.coins3"",""af_revenue"":9.99}",9.99,USD,9.99,SDK,,,Apple Search Ads,,mahjong free,MTQ_US_9_nov_2017,87532439,Mahjong lines_US,87564739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,US,NC,Carrboro,27510,560,98.26.109.189,TRUE,,,en-US,1522844009249-1673783,,2D4D600B-AF53-4C44-8984-F6A47885EC58,,416c0300-3823-11e8-894f-25a801fe015f,,1F4BC213-833B-4092-8ED9-F9B25E4498A0,ios,iPhone 8,11.4.1,436,v4.8.6,id1098189387,Mahjong Treasure Quest,com.vizor-apps.Mahjong,FALSE,,,,TRUE,Mahjong%20Treasure%20Quest/2.17.5 CFNetwork/902.2 Darwin/17.7.0,,
